bag_x,bag_y,fence_x,fence_y,center_x,center_y
"376.7453736,396.3657983,531.2449076,599.2048267,645.662035,655.2072881,736.6062501,753.7758156,918.1506798,974.5107416,1128.338435,1128.744844,1132.300041,1141.253559,1146.876562,1146.429472,1130.371036,1128.059678,1107.964111,1054.078599,952.7229415,902.0947774,888.6324524,859.3076157,850.7650247,780.9684352,637.8585671,571.8037214,560.0781218,516.2645773,508.3264701,352.3414782,349.1149323,343.8935823,335.3296879,307.0506626,200.6071056,150.3271874,125.2754587,97.86743273,95.93918841,83.90491218,74.27182601,73.35310994,48.10321556,42.32475247,41.31831563,35.28599246,13.13594617,13.12918889,9.327646743,3.528593268,2.936651172,2.736775836,2.669712045,2.11941051,1.607906632,1.282069453,0.9550895259,0.5175566589,0.08829901211,0.03016173428,0.006050337562,0.001464281672,0.001029312408,0.0002048224735,-4.83E-05,-0.0001233003841,-0.0005307181914,-0.001201829761,-0.001238747976,-0.00107522245,-0.0001645482254,0.0004037976967,0.0005494156458,0.003799186363,0.01578103818,376.7453736","3.139180748,3.147198066,3.20573203,3.235464489,3.255892058,3.260169267,3.300736986,3.309630338,3.397947269,3.434809724,3.551144263,3.551466613,3.555185963,3.609483084,3.644494556,3.645192209,3.661830538,3.662525608,3.666438248,3.673695097,3.679327435,3.681124318,3.681467908,3.682055921,3.682142505,3.678270994,3.666698021,3.657218235,3.65529971,3.647999779,3.646347749,3.589213968,3.587425537,3.584485697,3.579329628,3.56229963,3.497964058,3.465222556,3.448020869,3.426385101,3.424812644,3.41395417,3.404915229,3.403794518,3.371111072,3.361917866,3.360185531,3.349287699,3.308561326,3.308536871,3.293191622,3.26808935,3.265502366,3.2644151,3.263785481,3.258362385,3.252378716,3.248414216,3.244154858,3.237450028,3.23032286,3.229248008,3.228586457,3.23E+00,3.228401341,3.22822142,3.228163778,3.228061996,3.219331661,3.058218659,2.986797151,2.986796636,2.986796402,2.986796314,2.986796298,2.986797094,2.986801662,3.139180748","1262.372009,1894.920304,2282.756029,2823.958345,1259.196849,0,-0.001201829761,-0.001238747976,-0.00107522245,-0.0001645482254,0.0004037976967,0.0005494156458,55.28198366,414.9545903,883.281679,1262.372009","3.407926853,3.731459129,3.972407653,4.482995605,4.380014058,4.116301032,3.058218659,2.986797151,2.986796636,2.986796402,2.986796314,2.986796298,2.986796794,3.0984366,3.26527378,3.407926853",4.893414388,3.035596872
"1506.647158,1515.346924,1571.309888,1607.935617,1775.902874,1917.034285,1928.160345,2135.107468,2361.215178,2393.132883,2417.16934,2658.705492,2690.173191,2741.104272,2800.207785,2811.756914,2829.576664,2958.144257,3023.641094,3032.732106,3032.476001,2955.033703,2934.21185,2894.315591,2879.674263,2860.92268,2858.197485,2759.570414,2699.091025,2612.05498,2545.601733,2503.310938,2356.941045,2310.9164,2299.479695,2187.889118,2144.100908,1681.120397,1591.018122,1513.470209,1421.876687,1269.321383,1145.814214,1105.00005,1084.553669,1017.362631,966.0753078,930.3858028,856.2577705,738.4162044,701.9652544,686.0412843,685.6489207,642.8960725,477.6553869,2.53E+02,249.0184166,243.9114022,138.1817114,135.8398321,108.1614598,99.30700789,88.2306325,75.16924251,68.95838698,68.0776762,66.12130335,63.49628894,21.26889092,18.62314292,1.28E+01,8.72E+00,7.510500067,4.998565411,4.883355142,3.68988355,0.5900999537,0.5118480336,0.2692083024,0.2307872596,0.1602795379,6.85E-02,0.05379764849,0.01766542657,0.005239622416,0.003984101235,0.001641687227,0.0002270291515,-5.52E-05,-0.0002927073014,-0.0008711249037,-0.001077263145,-0.001165857889,-0.001284539542,-0.001416690925,-0.002243194905,0.0006906128026,0.01282866426,0.0130297525,0.2030607543,1202.829659,1506.647158","0.9406997071,0.9407694522,0.9412404799,0.9415489261,0.94299499,0.9442304275,0.9443332444,0.946258887,0.9483711633,0.9486849016,0.9489289506,0.9520540255,0.9526048201,0.9537906735,0.9551685416,0.9554530031,0.9559350598,0.9615343302,0.9645290116,0.9651871423,0.9652582725,0.9683948742,0.9690302767,0.970121141,0.9704770037,0.9709095396,0.9709609689,0.972787998,0.973860036,0.9753991795,0.9765187819,0.9769616482,0.9781071566,0.9784551115,0.9785253997,0.9789277403,0.9790274082,0.9790030099,0.9789052551,0.9786843173,0.9784095901,0.9779222174,0.9775258556,0.9773303687,0.9772153048,0.9767445162,0.976289893,0.9758974269,0.9748528243,0.9731458969,0.9726034128,0.9723364677,0.9723285724,0.9714370499,0.9677626167,0.962664673,0.9625776658,0.9624432812,0.9588830098,0.9587875517,0.9572333623,0.9566307188,0.9557964713,0.9547895455,0.954286011,0.9542105712,0.9540409431,0.9537977096,0.9496556757,0.9493282427,0.9479907483,0.9469491095,0.9466274205,0.9458878673,0.9458478952,0.9453796693,0.943925154,0.9438782227,0.9437019755,0.9436655807,0.9435920023,0.9434868649,0.9434638732,0.9433963829,0.9433646971,0.9433601356,0.943351147,0.943334781,0.943298147,0.9432104438,0.941398377,0.9405320553,0.9399769281,0.9392317389,0.9382047851,0.9298601989,0.929860193,0.9298602488,0.9298602499,0.929861605,0.9384866674,0.9406997071","5610.141473,6550.300584,941.754129,0,-0.002243194905,0.0006906128026,1048.07638,2.54E+03,3555.104419,4701.356989,5.61E+03","0.964013626,0.9947935034,1.017688466,1.001874085,0.9298601989,0.929860193,0.9317837931,0.9351889298,0.9410628239,0.9505145175,0.964013626",203.3338637,0.9385437584
"315.5373786,363.3983153,411.7785674,443.3950305,576.3521619,636.2109063,710.5238745,723.3576371,884.6066151,896.3211149,1159.131141,1280.430429,1296.352841,1345.128227,1346.947706,1324.859954,1318.693985,1264.009667,1262.322445,1260.253559,1241.053958,1072.340998,1048.665598,1014.765365,1012.730533,1000.283582,976.7281506,821.7665245,815.56589,809.4496749,798.3005422,707.2277189,575.9805194,544.3452925,531.3400448,322.1374549,313.2411375,294.2011927,242.6011705,204.5951561,189.0686511,187.1323944,182.5608553,181.7806623,128.8323539,121.4157023,97.58799486,86.72317229,80.86174577,77.91089125,55.57496432,22.54559897,19.84542537,16.99172813,9.280014905,9.170649774,6.28E+00,3.301784951,3.188743115,2.019412119,1.525890596,0.7045239474,0.07195564371,0.003539589163,0.002099244595,-0.0003232732074,-0.0004781897912,-0.0006336992151,-0.0008043477871,-0.0007234792249,-0.0007039717659,-0.0007012681519,1.45E-05,0.0001891248863,0.0003382456752,0.002901524733,0.005021653844,0.01529384689,0.02200472845,0.04871600497,0.08974242146,0.1163048388,3.16E+02","2.255945541,2.286373953,2.3173299,2.338064386,2.432252839,2.476285243,2.532349713,2.542259769,2.668428996,2.677905206,2.930431096,3.056033049,3.072711016,3.125638731,3.13599493,3.200663681,3.2168595,3.313376626,3.316290002,3.318957144,3.323793348,3.355928458,3.359316534,3.363705327,3.363727028,3.363480311,3.361942163,3.349517497,3.348291062,3.346896659,3.344210309,3.319943029,3.284818356,3.273811393,3.269015347,3.190653858,3.186319973,3.176488841,3.148723509,3.125669768,3.116126063,3.114773363,3.110494697,3.108927544,2.989038729,2.971864542,2.916126852,2.88994657,2.875281826,2.865265804,2.785008122,2.660959752,2.64899944,2.636258819,2.600971468,2.600148409,2.576806329,2.549656939,2.548479864,2.534050135,2.526175207,2.510717351,2.497448265,2.495724796,2.495651276,2.495527498,2.488953236,2.397772518,2.283695687,2.060019771,2.060019707,2.060019698,2.060019381,2.06001932,2.060019333,2.060020433,2.060021345,2.060027528,2.060031568,2.060048056,2.060073498,2.060089983,2.255945541","2217.114752,1784.196849,824.866722,0,-0.0008043477871,-0.0007234792249,-0.0007039717659,-0.0007012681519,1.45E-05,0.0001891248863,18.38354688,190.9402732,966.1742729,1104.252925,1700.347504,1758.02206,2217.114752","3.722268275,3.780448384,3.721942124,3.551491244,2.283695687,2.060019771,2.060019707,2.060019698,2.060019381,2.06001932,2.060019936,2.099805652,2.595884341,2.691379087,3.108159899,3.153551,3.722268275",7.296115026,2.112989511
"690.2334036,728.2026392,728.6050293,729.4819111,823.269053,823.596019,836.221421,884.3600187,891.6282774,889.9674743,888.182808,886.9766522,855.9401386,807.219683,773.7918461,765.7703265,640.9351864,607.3890874,598.8701124,512.159607,473.469246,443.3929359,436.4369906,382.5720689,370.7872744,341.5192319,335.7796282,318.8469222,198.9590003,178.8502023,174.2617007,161.1600986,158.8823752,83.79631323,69.04293085,55.10790427,52.46964889,34.76463015,32.56766107,24.54865378,24.06234475,17.70924197,12.67266383,12.09704878,7.944654353,7.497032121,5.459371818,2.166625693,1.790890126,1.640194398,1.399030129,1.176606189,0.6905576696,5.53E-01,0.2778931784,0.1057568318,0.02265025895,0.01722496487,0.01321462147,-0.0001543012742,-0.0002242112405,-0.0002707503863,-0.0004502117055,-0.0005174838724,-0.0008845420625,-0.0008166573798,-0.0006918728768,-0.0006305250475,-1.25E-05,6.90E+02","4.241862697,4.261570257,4.261786808,4.262391175,4.333960236,4.334235989,4.347235885,4.415256704,4.431178268,4.50778459,4.514965806,4.515977673,4.520755716,4.52756925,4.529798931,4.529928851,4.530785454,4.530146405,4.529475811,4.516481108,4.509407043,4.50302448,4.501190077,4.484583402,4.480503587,4.469323163,4.467104637,4.459899955,4.40339051,4.393665724,4.390620031,4.381791081,4.379993853,4.315713134,4.30228772,4.288737143,4.28547843,4.25960271,4.256301283,4.24335326,4.242491492,4.230644955,4.220237334,4.218720363,4.205875981,4.204110768,4.195452299,4.178937487,4.176828461,4.175932569,4.17435746,4.172859371,4.169487589,4.168193376,4.164938851,4.162545978,4.161219901,4.160926332,4.160466325,4.158660682,4.158554657,4.158009611,4.151265154,4.148672347,4.017376494,3.961086993,3.920843686,3.916626398,3.896206461,4.241862697","2260.799659,1720.045769,808.0771537,0,-0.0008845420625,-8.17E-04,-0.0006918728768,-0.0006305250475,-1.25E-05,751.6184292,1967.485269,2260.799659","4.974153862,5.111521416,5.298788502,4.844512764,4.017376494,3.961086993,3.920843686,3.916626398,3.896206461,4.214638105,4.809392169,4.974153862",2.56E-06,3.942074066
"294.3145489,302.505515,472.8878816,584.2031802,590.3912977,760.7221481,804.4944326,816.517447,950.218151,962.9611192,1003.697068,1050.661123,1074.156575,1074.234272,1038.726777,1027.391342,1011.539334,982.1402727,930.592114,922.8302132,915.9918185,837.3070345,799.9231469,708.3389901,688.9271633,679.0987427,646.7862676,618.6731482,577.5127668,419.7970413,411.8383946,408.0888458,268.6012155,252.1338626,244.6628272,244.020385,237.8104509,223.8942414,222.411099,222.1400682,222.1280147,219.5232256,197.7371904,194.8181678,180.4934092,150.8625244,95.44862812,64.07103196,61.08723961,60.02921576,45.8161916,23.92421623,22.6851366,18.46320489,15.14631839,14.74285685,14.23332735,4.851876702,4.514664159,3.216587671,3.03190643,0.5425297165,0.1702277255,0.1129697668,0.02500273181,0.01369044782,0.004688698117,0.002297345676,0.0004305447645,0.000148074827,0.000108152355,-8.83E-06,-0.0001372955757,-0.0004005960665,-0.0004949415766,-0.0005071035704,-0.0007108091678,-0.0009025042481,-0.001025320869,-0.001077787524,-0.0009835869744,-0.000396545051,0.0006289465607,0.003018614214,294.3145489","3.18979924,3.195649112,3.320097079,3.401532118,3.406131211,3.549483199,3.58700749,3.598659754,3.741118356,3.755574794,3.82334082,3.926295347,3.98225071,3.985675931,4.120045291,4.147639591,4.159731078,4.17371028,4.195776383,4.198131854,4.199121316,4.201037726,4.201081487,4.200127361,4.199313569,4.197647537,4.190664845,4.184465059,4.1750001,4.138371223,4.136425784,4.135250468,4.062325048,4.053095178,4.048589187,4.048194752,4.043287774,4.032129214,4.030924163,4.030696443,4.030685644,4.027963867,4.005011428,4.001893629,3.978064124,3.92235302,3.790088408,3.710304345,3.702500988,3.699561731,3.655838068,3.583632151,3.578833464,3.561668611,3.546710503,3.544414883,3.541144986,3.46218905,3.458891702,3.444859547,3.44253845,3.404037183,3.395855072,3.394295837,3.389751684,3.389108763,3.388247263,3.386256475,3.383853149,3.382233993,3.381269571,3.375360747,3.368189341,3.34786847,3.34014387,3.335881708,3.253332005,3.167136714,3.063505988,2.989884826,2.98988053,2.989879335,2.989878586,2.989879849,3.18979924","0,-0.001025320869,-0.001077787524,-0.0009835869744,-0.000396545051,0.0006289465607,18.38354688,127.1812385,1561.549778,2207.069438,2272.421028,1382.380802,747.5801945,142.6930095,0","4.33972999,3.063505988,2.989884826,2.98988053,2.989879335,2.989878586,2.994342138,3.03109074,4.045784248,4.595279107,4.651265755,4.71624731,4.609766816,4.466799525,4.33972999",0.8214116893,3.016742432
